,Id,PID,MS SubClass,Lot Frontage,Lot Area,Alley,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,SalePrice,Bsmt Qual ord,Bsmt Cond ord,Garage Qual ord,Garage Cond ord,Age,Age_Remod,Remod_Yes,garage_yes,basement_yes,Wood_Deck_Yes,Open_Porch_Yes,Enclosed_Porch_Yes,3Ssn_Porch_Yes,Screen_Porch_Yes,Home_New,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Street_Pave,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Bsmt Exposure_Good,Bsmt Exposure_Min,Bsmt Exposure_NA,Bsmt Exposure_None,Bsmt Qual_Fair,Bsmt Qual_Good,Bsmt Qual_NA,Bsmt Qual_Poor,Bsmt Qual_Typical,Bsmt Cond_Fair,Bsmt Cond_Good,Bsmt Cond_NA,Bsmt Cond_Poor,Bsmt Cond_Typical,BsmtFin Type 1_Avg_Rec_Room,BsmtFin Type 1_Below_Avg_Liv_Q,BsmtFin Type 1_Good_Liv_Q,BsmtFin Type 1_Low_Qual,BsmtFin Type 1_NA,BsmtFin Type 1_Unfinished,BsmtFin Type 2_Avg_Rec_Room,BsmtFin Type 2_Below_Avg_Liv_Q,BsmtFin Type 2_Good_Liv_Q,BsmtFin Type 2_Low_Qual,BsmtFin Type 2_NA,BsmtFin Type 2_Unfinished,Garage Finish_NA,Garage Finish_RoughFin,Garage Finish_Unf,Garage Qual_Fair,Garage Qual_Good,Garage Qual_NA,Garage Qual_Poor,Garage Qual_Typical,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detached,Garage Type_NA,Garage Cond_Fair,Garage Cond_Good,Garage Cond_NA,Garage Cond_Poor,Garage Cond_Typical,Paved Drive_Paved,Paved Drive_Paved_Partial,Utilities_NoSeWa,Utilities_NoSewr,Lot Shape_Mod_Irreg,Lot Shape_Reg,Lot Shape_Slight_Irreg,Land Contour_Depression,Land Contour_Hillside,Land Contour_Lvl,Land Slope_Mod,Land Slope_Sev,Lot Config_CulDSac,Lot Config_Front_2,Lot Config_Front_3,Lot Config_Inside,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD ,Yr Sold X Exter Qual,Yr Sold X Age,Exter Qual X Age,Yr Sold X Bedroom AbvGr,Exter Cond X Lot Area,Yr Sold X Lot Area,Exter Cond X Kitchen Qual,Home_New X BsmtFin SF 1,Exter Qual X Overall Cond,Kitchen Qual X Age,Kitchen AbvGr X Lot Area,Kitchen Qual X Kitchen AbvGr,Exter Cond X Overall Cond,Exter Qual X Total Bsmt SF,Kitchen AbvGr X Overall Cond,Exter Cond X Gr Liv Area,Home_New X Full Bath,Exter Qual X Heating QC,Exter Qual X Gr Liv Area,Home_New X Bsmt Full Bath,Yr Sold X Gr Liv Area
0,109,533352170,60,0.0,13517,,6,8,1976,2005,Plywood,289.0,4,3,533.0,0.0,192.0,725.0,5,1,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,,1976.0,2.0,475.0,0,44,0,0,0,0,,,,0,3,2010,130500,3,3,3.0,3.0,34,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8040,68340,136,6030,40551,27169170,12,0.0,32,136,13517,4,24,2900.0,8,4437,0,20,5916,0.0,2972790
1,544,531379050,60,43.0,11492,,7,5,1996,1997,VinylSd,132.0,4,3,637.0,0.0,276.0,913.0,5,1,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,TA,1997.0,2.0,559.0,0,74,0,0,0,0,,,,0,4,2009,220000,4,3,3.0,3.0,13,12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8036,26117,52,8036,34476,23087428,12,0.0,20,52,11492,4,15,3652.0,5,6366,0,20,8488,0.0,4263098
2,153,535304180,20,68.0,7922,,5,7,1953,2007,VinylSd,0.0,3,4,731.0,0.0,326.0,1057.0,3,1,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,,1953.0,1.0,246.0,0,52,0,0,0,0,,,,0,1,2010,109000,3,3,3.0,3.0,57,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6030,114570,171,6030,31688,15923220,16,0.0,21,228,7922,4,28,3171.0,7,4228,0,9,3171,0.0,2124570
3,318,916386060,60,73.0,9802,,5,5,2006,2007,VinylSd,0.0,3,3,0.0,0.0,384.0,384.0,4,1,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,,2007.0,2.0,400.0,100,0,0,0,0,0,,,,0,4,2010,174000,4,3,3.0,3.0,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6030,8040,12,6030,29406,19702020,9,0.0,15,12,9802,3,15,1152.0,5,4332,0,12,4332,0.0,2902440
4,255,906425045,50,82.0,14235,,6,8,1900,1993,Plywood,0.0,3,3,0.0,0.0,676.0,676.0,3,1,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,,1957.0,2.0,484.0,0,59,0,0,0,0,,,,0,3,2010,138500,2,4,3.0,3.0,110,17,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6030,221100,330,6030,42705,28612350,9,0.0,24,330,14235,3,24,2028.0,8,4335,0,9,4335,0.0,2904450
5,138,535126040,20,137.0,16492,,6,6,1966,2002,Plywood,0.0,4,3,247.0,713.0,557.0,1517.0,5,1,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,Gd,1966.0,2.0,578.0,0,0,0,0,0,0,,,,0,6,2010,190000,3,3,3.0,3.0,44,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8040,88440,176,4020,49476,33148920,12,0.0,24,176,16492,4,18,6068.0,6,5664,0,20,7552,0.0,3794880
6,2827,908186070,180,35.0,3675,,6,5,2005,2006,VinylSd,82.0,3,3,547.0,0.0,0.0,547.0,4,1,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,,2005.0,2.0,525.0,0,44,0,0,0,0,,,,0,6,2006,140000,4,3,3.0,3.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6018,2006,3,4012,11025,7372050,9,0.0,15,3,3675,3,15,1641.0,5,3216,0,12,3216,0.0,2150432
7,145,535154050,20,0.0,12160,,5,5,1959,1959,Plywood,180.0,3,3,1000.0,0.0,188.0,1188.0,2,1,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,,1959.0,2.0,531.0,0,0,0,0,0,0,,MnPrv,,0,5,2010,142000,3,3,3.0,3.0,51,51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6030,102510,153,6030,36480,24441600,9,0.0,15,153,12160,3,15,3564.0,5,3564,0,6,3564,0.0,2387880
8,1942,535353130,20,0.0,15783,,5,5,1952,1952,Wd Sdng,0.0,3,3,292.0,0.0,632.0,924.0,3,1,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,,1952.0,1.0,420.0,0,324,0,0,0,0,,MnPrv,Shed,400,6,2007,112500,3,3,3.0,3.0,55,55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6021,110385,165,4014,47349,31676481,9,0.0,15,165,15783,3,15,2772.0,5,2772,0,9,2772,0.0,1854468
9,1956,535426130,60,70.0,11606,,5,5,1969,1969,Plywood,192.0,3,3,650.0,0.0,390.0,1040.0,3,1,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,TA,1969.0,2.0,504.0,335,0,0,0,0,0,,,,0,9,2007,135000,4,3,3.0,3.0,38,38,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6021,76266,114,10035,34818,23293242,6,0.0,15,76,11606,2,15,3120.0,5,6240,0,9,6240,0.0,4174560
